ID,Todo
1,1.밖에서 음료 주문을 할 때 빨대가 없는지 물어보십시오.
2,2.재사용 할 수 있는 충분한 물병없이 집을 떠나지 마십시오 .
3,3.손수건을 가지고 다니십시오.
4,4. lonley banana를 집으십시오. 팔다 남은 바나나는 일반적으로 식료품가게에서 버려집니다. 바나나에는 공기 마일 / 탄소 발자국이 많습니다.바나나 머핀을 만듭니다.
5,5.프로모션 아이템을 누군가 준다면 무료로 제공해줘서 고맙다고 말한 후 항상 거절하십시오. 그것들은 싸고 쉽게 부서지는 경향이 있습니다.
6,6.지역 공유 경제를 지원하는 도서관 카드를 준비하십시오.
7,7.중고 시장을 지원하기 위해 미사용 물품을 좋은 상태로 기부하십시오.
8,8.뭔가를 구입할 때 중고품을 먼저 생각하십시오.
9,9.만약 당신이 감기가 오는 느낌이 오면 플라스틱에 든 알약대신 엘더베리시럽을 사용해보십시오.
10,10.플라스틱 칫솔을 대나무 칫솔로 교체하십시오.
11,"11.낡은 시트와 수건을 손수건, 넝마, 냅킨 및 헝겊으로 변신시키세요."
12,"12.제로웨이스트 키트를 만들어 당신의 차 트렁크에 넣거나, 외출할 때 항상 준비합니다. 그것은 크지 않아도 되고 단지 몇 가지 항목이면 됩니다. "
13,13.옷을 한 번 입고난 후가 아니라 실제로 더러워지면 옷을 세탁하십시오.
14,14.창문을 열어 집을 식히십시오.
15,15.팜유를 피하십시오.
16,16.포장 또는 최소한의 포장으로 식품을 구입하십시오.
17,"17.기분이 안좋을 때 뭔가를 사지 않고 뭔가를 하십시오. 걷고, 요가 수업을 듣고, 친구와 만나세요."
18,18.오래된 빵을 용도변경하십시오.
19,19.dry 샴푸를 만듭니다.(찾아보니 파우더식으로 된 건식샴푸네요.)
20,20.다양한 용도로 사용할 수 있는 아이템을 사용하세요.과도한 쓰레기를 간소화하고 줄이기 위해 여러 가지 용도를 가진 물건이 있는지 주변을 둘러보십시오.
21,21.재사용 할 수있는 가방을 가게에 가져가야 합니다. 당신이 가방을 가지고 나오지 않았다면 돌아가서 그것들을 가지고 오세요. 한 번 잊어 버린 후에는 다시 잊어버리지 않을 것입니다.
22,22.통조림하여 음식을 보존하십시오.
23,23.액체비누 대신에 바비누를 사용하면 포장이 적어집니다.
24,24.천 생리대 또는 생리컵을 사용합니다.
25,25.전구를 LED로 변경하십시오.
26,"26.첨단 기술 사용시 주의하십시오. (배터리, 휴대폰, 컴퓨터 등 첨단 기기를 사용할 때 발생하게 되는 전자폐기물을 말함)"
27,27.과일과 채소를 재사용할 수 있는 장바구니를 가져 오십시오.
28,28.온도를 올리기 전에 스웨터와 양말을 착용하십시오.
29,29.치아를 닦는 동안 물을 끄십시오.
30,30.충동적으로 아무것도 사지 마십시오.
31,31.나만의 로션을 만들어보십시오.
32,32.농민 시장을 확인하십시오 .
33,33.식료품 저장실에있는 물건으로 얼굴 마스크를 만드십시오.
34,34.천기저귀를 사용해보십시오.
35,35.약간의 실내 화분으로 공기를 정화하십시오. 작은 플라스틱 화분을 반납하는 것을 잊지 마십시오!
36,36.자연적인 방법으로 해충을 제거 하십시오 .
37,37.음식물 쓰레기를 피하기 위한 식사 계획을 짜세요.
38,38.사용하지 않을 때는 전자 장치의 플러그를 뽑으십시오.
39,39.재활용 할 수없는 치약 튜브를 피하기 위해 치약을 만드십시오.
40,40.더 많은 국산제품을 구입하십시오.
41,41.고장이 났을 때 수리하십시오.
42,42.캠핑 장비 또는 파티용 특별 테이블과 같은 전문 품목을 찾고 있다면 구매하기 전에 빌릴 수 있는지 친구에게 물어보십시오.
43,43.작은 정원을 만드십시오.
44,44.플라스틱을 사용하지 않고 음식물을 얼리는 방법을 배우십시오.
45,45.자신의 페브리즈 스프레이로 방을 신선하게 만드십시오!
46,46.뒤뜰 퇴비를 시작하십시오 .
47,47.플라스틱 챕스틱을 버리고 DIY 입술 연고로 바꾸십시오.
48,48.일생 동안 지속될 도구와 아이템을 둘러보십시오. 물건을 한 번만 구입하십시오.
